player name,method,R,B,M,4s,6s,SR
Ni Ariani,lbw b Meikle,0,2,-,0,0,0
Kadek Kurniartini,c Moyo b Ndhlovu,3,8,-,0,0,37.5
Ni Luh Dewi,c & b Ndhlovu,14,13,-,3,0,107.69
Desi Wulandari,c Mtomba b Ndhlovu,0,3,-,0,0,0
Thersiana Weo,c †Mutungwindu b Moyo,14,28,-,1,0,50
Gusti Ulansari,b Moyo,10,28,-,1,0,35.71
Ni Murtiari,c †Mutungwindu b Moyo,0,3,-,0,0,0
Ni Indriyani,not out,9,11,-,1,0,81.81
Ni Suarniasih,not out,12,12,-,1,0,100
