BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers,SR
Ariani,ct,E Pokana,M Jayphert,9,8,2,0,112.50
Ayu Kurnia,ct,H Tau,H Tau,20,30,1,0,66.67
Wesika,ct,M Jayphert,E Pokana,35,41,4,0,85.37
Desi,ct,M Ani,B Vicky,0,10,0,0,0.00
Thersiana Feibrene Catrina Penu Weo,ct,D Lohia,D Lohia,2,8,0,0,25.00
Sang Ayu,ct,C Ute,E Pokana,0,5,0,0,0.00
Talia,ht,,E Pokana,6,7,1,0,85.71
Gek Ulan,ro,,M Jayphert,0,1,0,0,0.00
Dwik,ct,A Vala,E Pokana,2,7,0,0,28.57
Yoland,,,,5,7,0,0,71.43
Sandia,,,,0,1,0,0,0.00
Ika,,,,0,0,0,0,
Devi,,,,0,0,0,0,
Cao,,,,0,0,0,0,
