player name,method,R,B,M,4s,6s,SR
Gusti Ulansari,c Harrison b McCartney,2,8,-,0,0,25
Kadek Kurniartini,c †Loughran b Dempsey,4,5,-,0,0,80
Ni Luh Dewi,not out,34,40,-,2,0,85
Desi Wulandari,run out (Sargent/†Loughran),3,8,-,0,0,37.5
Thersiana Weo,lbw b Craig,11,21,-,0,0,52.38
Ni Ariani,b Craig,3,6,-,0,0,50
Ni Murtiari,lbw b Maguire,11,18,-,1,0,61.11
Ni Indriyani,c Gough b Harrison,4,8,-,0,0,50
Ni Suarniasih,lbw b McGee,2,4,-,0,0,50
I Gusti Pratiwi,not out,3,3,-,0,0,100
