player name,method,R,B,M,4s,6s,SR
Ni Ariani,c Gaze b Browning,0,1,1,0,0,0
Kadek Kurniartini,c Loggenberg b Wakelin,13,18,22,2,0,72.22
Ni Luh Dewi,c Loggenberg b Wakelin,12,26,31,0,0,46.15
Gusti Ulansari,run out (Plimmer/Wakelin),4,8,7,0,0,50
Thersiana Weo,c Wakelin b Browning,11,20,22,1,0,55
Desi Wulandari,not out,16,35,37,0,0,45.71
Ni Murtiari,lbw b Wakelin,1,5,4,0,0,20
Ni Indriyani,run out (Gaze/Knight),2,4,8,0,0,50
Ni Suarniasih,not out,2,4,4,0,0,50
