player name,O,W,ECON,0s,WD,NB
Ni Luh Dewi,2,0,8.5,8,5,0
Lie Qiao,4,0,7.25,16,1,0
Desi Wulandari,3,1,9.66,8,1,0
Ni Ariani,4,0,8.25,8,0,0
Ni Suarniasih,3,1,7.33,7,0,1
Ni Murtiari,4,1,11,9,0,1
