player name,O,W,ECON,0s,WD,NB
Ni Luh Dewi,4,5,4.5,18,6,0
Lie Qiao,3,0,3,15,2,0
Desi Wulandari,4,1,6,15,4,0
Ni Ariani,4,2,1.75,18,0,0
Ni Suarniasih,4,0,4.5,15,0,0
Ni Indriyani,1,0,9,3,0,0
