player name,O,W,ECON,0s,WD,NB
Ni Luh Dewi,2,0,6,7,0,0
Lie Qiao,2,0,9.5,5,3,0
Desi Wulandari,1,0,10,3,2,0
Ni Ariani,1,0,10,2,0,0
Ni Murtiari,2,0,7,4,3,0
Ni Suarniasih,1.3,0,7.33,3,0,0
